x_label;y_label;cl_x;cl_y;hl_x;hl_y;tube_id
64;5;46,75;3,518;26;3,518;TUBE.378
66;5;45,938;3,518;26,812;3,518;TUBE.379
68;5;45,125;3,518;27,625;3,518;TUBE.380
70;5;44,312;3,518;28,438;3,518;TUBE.381
72;5;43,5;3,518;29,25;3,518;TUBE.382
74;5;42,688;3,518;30,062;3,518;TUBE.383
76;5;41,875;3,518;30,875;3,518;TUBE.384
78;5;41,062;3,518;31,688;3,518;TUBE.385
80;5;40,25;3,518;32,5;3,518;TUBE.386
82;5;39,438;3,518;33,312;3,518;TUBE.387
84;5;38,625;3,518;34,125;3,518;TUBE.388
86;5;37,812;3,518;34,938;3,518;TUBE.389
90;5;34,938;3,518;37,812;3,518;TUBE.390
92;5;34,125;3,518;38,625;3,518;TUBE.391
94;5;33,312;3,518;39,438;3,518;TUBE.392
96;5;32,5;3,518;40,25;3,518;TUBE.393
98;5;31,688;3,518;41,062;3,518;TUBE.394
100;5;30,875;3,518;41,875;3,518;TUBE.395
102;5;30,062;3,518;42,688;3,518;TUBE.396
104;5;29,25;3,518;43,5;3,518;TUBE.397
106;5;28,438;3,518;44,312;3,518;TUBE.398
108;5;27,625;3,518;45,125;3,518;TUBE.399
110;5;26,812;3,518;45,938;3,518;TUBE.400
112;5;26;3,518;46,75;3,518;TUBE.401
114;5;25,188;3,518;47,562;3,518;TUBE.402
116;5;24,375;3,518;48,375;3,518;TUBE.403
118;5;23,562;3,518;49,188;3,518;TUBE.404
120;5;22,75;3,518;50;3,518;TUBE.405
122;5;21,938;3,518;50,812;3,518;TUBE.406
124;5;21,125;3,518;51,625;3,518;TUBE.407
126;5;20,312;3,518;52,438;3,518;TUBE.408
128;5;19,5;3,518;53,25;3,518;TUBE.409
130;5;18,688;3,518;54,062;3,518;TUBE.410
132;5;17,875;3,518;54,875;3,518;TUBE.411
134;5;17,062;3,518;55,688;3,518;TUBE.412
136;5;16,25;3,518;56,5;3,518;TUBE.413
138;5;15,438;3,518;57,312;3,518;TUBE.414
140;5;14,625;3,518;58,125;3,518;TUBE.415
142;5;13,812;3,518;58,938;3,518;TUBE.416
